threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.118969,aB5yNyM=19
1,2,0.113902,aB5yNyM=19
1,3,0.155082,aB5yNyM=19
1,4,0.118474,aB5yNyM=19
1,5,0.191989,aB5yNyM=19
1,6,0.130878,aB5yNyM=19
1,7,0.177708,aB5yNyM=19
1,8,0.199957,aB5yNyM=19
1,9,0.187196,aB5yNyM=19
1,10,0.20509,aB5yNyM=19
1,11,0.226248,aB5yNyM=19
1,12,0.220356,aB5yNyM=19
1,13,0.26824,aB5yNyM=19
1,14,0.28182,aB5yNyM=19
1,15,0.344176,aB5yNyM=19
1,16,0.320679,aB5yNyM=19
1,17,0.387691,aB5yNyM=19
1,18,0.353386,aB5yNyM=19
1,19,0.385769,aB5yNyM=19
1,20,0.39121,aB5yNyM=19
1,21,0.407108,aB5yNyM=19
1,22,0.432765,aB5yNyM=19
1,23,0.444796,aB5yNyM=19
1,24,0.463455,aB5yNyM=19
1,25,0.463651,aB5yNyM=19
1,26,0.5413,aB5yNyM=19
