threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.04787,aBgp=1
1,2,0.084885,aBgp=1
1,3,0.082381,aBgp=1
1,4,0.083017,aBgp=1
1,5,0.119297,aBgp=1
1,6,0.13984,aBgp=1
1,7,0.138512,aBgp=1
1,8,0.15717,aBgp=1
1,9,0.19925,aBgp=1
1,10,0.185515,aBgp=1
1,11,0.198868,aBgp=1
1,12,0.199406,aBgp=1
1,13,0.225753,aBgp=1
1,14,0.265922,aBgp=1
1,15,0.25165,aBgp=1
1,16,0.272344,aBgp=1
1,17,0.278996,aBgp=1
1,18,0.30438,aBgp=1
1,19,0.318784,aBgp=1
1,20,0.334769,aBgp=1
1,21,0.356566,aBgp=1
1,22,0.352453,aBgp=1
1,23,0.367929,aBgp=1
1,24,0.383378,aBgp=1
1,25,0.420506,aBgp=1
1,26,0.42731,aBgp=1
