threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.009892,ae4Z=19
1,2,0.006913,ae4Z=19
1,3,0.005177,ae4Z=19
1,4,0.005375,ae4Z=19
1,5,0.005272,ae4Z=19
1,6,0.005288,ae4Z=19
1,7,0.005345,ae4Z=19
1,8,0.005165,ae4Z=19
1,9,0.005141,ae4Z=19
1,10,0.005139,ae4Z=19
1,11,0.005129,ae4Z=19
1,12,0.005151,ae4Z=19
1,13,0.005166,ae4Z=19
1,14,0.005206,ae4Z=19
1,15,0.005208,ae4Z=19
1,16,0.005077,ae4Z=19
1,17,0.005182,ae4Z=19
1,18,0.005161,ae4Z=19
1,19,0.00518,ae4Z=19
1,20,0.005192,ae4Z=19
1,21,0.005104,ae4Z=19
1,22,0.005089,ae4Z=19
1,23,0.005129,ae4Z=19
1,24,0.005114,ae4Z=19
1,25,0.005161,ae4Z=19
1,26,0.005066,ae4Z=19
