threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.01411,aBgp=1
1,2,0.014088,aBgp=1
1,3,0.014144,aBgp=1
1,4,0.014067,aBgp=1
1,5,0.014106,aBgp=1
1,6,0.014166,aBgp=1
1,7,0.014102,aBgp=1
1,8,0.014143,aBgp=1
1,9,0.014061,aBgp=1
1,10,0.014151,aBgp=1
1,11,0.014075,aBgp=1
1,12,0.014141,aBgp=1
1,13,0.014041,aBgp=1
1,14,0.014093,aBgp=1
1,15,0.014098,aBgp=1
1,16,0.014049,aBgp=1
1,17,0.014062,aBgp=1
1,18,0.014252,aBgp=1
1,19,0.014122,aBgp=1
1,20,0.014071,aBgp=1
1,21,0.014142,aBgp=1
1,22,0.014159,aBgp=1
1,23,0.014103,aBgp=1
1,24,0.014199,aBgp=1
1,25,0.014087,aBgp=1
1,26,0.014046,aBgp=1
