threads_lectura,thread_maximo,tiempo,output
1,1,1.13368,ninguno=0
2,2,1.25988,ninguno=0
3,3,4.90426,ninguno=0
4,4,8.05027,ninguno=0
5,5,13.0067,ninguno=0
6,6,17.1226,ninguno=0
7,7,23.2989,ninguno=0
8,8,27.952,ninguno=0
9,9,34.6408,ninguno=0
10,10,45.2076,ninguno=0
11,11,49.0287,ninguno=0
12,12,56.5424,ninguno=0
13,13,56.6673,ninguno=0
14,14,65.7934,ninguno=0
15,15,80.1297,ninguno=0
16,16,88.8991,ninguno=0
17,17,98.2416,ninguno=0
18,18,106.508,ninguno=0
19,19,117.517,ninguno=0
20,20,128.713,ninguno=0
21,21,145.699,ninguno=0
22,22,157.935,ninguno=0
23,23,169.842,ninguno=0
24,24,169.896,ninguno=0
25,25,186.739,ninguno=0
26,26,203.072,ninguno=0
27,27,218.585,ninguno=0
28,28,236.267,ninguno=0
29,29,253.816,ninguno=0
30,30,291.897,ninguno=0
31,31,293.311,ninguno=0
32,32,329.474,ninguno=0
33,33,333.683,ninguno=0
34,34,361.718,ninguno=0
35,35,375.655,ninguno=0
36,36,409.244,ninguno=0
37,37,435.213,ninguno=0
38,38,492.541,ninguno=0
39,39,528.269,ninguno=0
40,40,573.609,ninguno=0
41,41,601.309,ninguno=0
42,42,674.793,ninguno=0
43,43,713.504,ninguno=0
44,44,773.627,ninguno=0
45,45,831.078,ninguno=0
46,46,869.144,ninguno=0
47,47,946.477,ninguno=0
48,48,996.614,ninguno=0
49,49,1092.2,ninguno=0
50,50,1180.56,ninguno=0
51,51,1299.46,ninguno=0
52,52,1427.78,ninguno=0
53,53,1604.69,ninguno=0
54,54,1760.36,ninguno=0
55,55,2094.36,ninguno=0
56,56,2400.65,ninguno=0
57,57,2452.59,ninguno=0
58,58,3795.52,ninguno=0
59,59,5964.64,ninguno=0
60,60,5726.44,ninguno=0
61,61,3851.61,ninguno=0
62,62,3469.26,ninguno=0
63,63,3706.52,ninguno=0
64,64,4214.94,ninguno=0
65,65,4117.78,ninguno=0
66,66,4227.6,ninguno=0
67,67,4428.24,ninguno=0
68,68,4898.94,ninguno=0
69,69,3974.81,ninguno=0
70,70,4767.89,ninguno=0
71,71,5533.76,ninguno=0
72,72,6197.7,ninguno=0
73,73,5608.93,ninguno=0
74,74,5754.41,ninguno=0
75,75,5374.79,ninguno=0
76,76,7280.9,ninguno=0
77,77,6058.05,ninguno=0
78,78,6989.62,ninguno=0
79,79,6414.63,ninguno=0
80,80,6867.43,ninguno=0
81,81,7859.58,ninguno=0
82,82,7448.54,ninguno=0
83,83,8745.62,ninguno=0
84,84,8636.74,ninguno=0
85,85,8634.72,ninguno=0
86,86,8778.34,ninguno=0
87,87,9642.11,ninguno=0
88,88,10068.7,ninguno=0
89,89,10166.8,ninguno=0
90,90,9880.37,ninguno=0
91,91,10749.1,ninguno=0
92,92,10664.4,ninguno=0
93,93,10519.7,ninguno=0
94,94,12379.5,ninguno=0
95,95,11596.7,ninguno=0
96,96,12153.9,ninguno=0
97,97,13933.2,ninguno=0
98,98,13134.6,ninguno=0
99,99,13014.1,ninguno=0
100,100,14530.5,ninguno=0
101,101,14153.6,ninguno=0
102,102,13826.7,ninguno=0
103,103,15305.1,ninguno=0
104,104,16979.8,ninguno=0
105,105,15510.1,ninguno=0
106,106,16466.6,ninguno=0
107,107,17098.1,ninguno=0
108,108,18929.1,ninguno=0
109,109,17092.2,ninguno=0
110,110,19138.5,ninguno=0
111,111,19101.6,ninguno=0
112,112,20150.9,ninguno=0
113,113,19159.7,ninguno=0
114,114,20068.9,ninguno=0
115,115,19909.7,ninguno=0
116,116,20075.1,ninguno=0
117,117,19435,ninguno=0
118,118,20399.1,ninguno=0
119,119,19860.4,ninguno=0
120,120,20699.9,ninguno=0
121,121,20321.4,ninguno=0
122,122,19278.8,ninguno=0
123,123,20821.6,ninguno=0
124,124,20869.9,ninguno=0
125,125,20397.2,ninguno=0
126,126,20073.9,ninguno=0
127,127,21203.2,ninguno=0
128,128,20850.9,ninguno=0
129,129,21514.5,ninguno=0
130,130,20530.5,ninguno=0
131,131,20783.9,ninguno=0
132,132,22327.3,ninguno=0
133,133,20467.5,ninguno=0
134,134,22375.3,ninguno=0
135,135,21738.7,ninguno=0
136,136,21878.2,ninguno=0
137,137,22798.2,ninguno=0
138,138,22879,ninguno=0
139,139,22420.8,ninguno=0
140,140,22930.4,ninguno=0
141,141,23316.3,ninguno=0
142,142,23100.5,ninguno=0
143,143,23290.2,ninguno=0
144,144,23312.3,ninguno=0
145,145,24434.9,ninguno=0
146,146,24234.2,ninguno=0
147,147,23564.6,ninguno=0
148,148,26435.8,ninguno=0
149,149,24844.2,ninguno=0
