threads_lectura,thread_maximo,tiempo,output
1,1,1.13368,a6Dp3=19
2,2,1.25988,a6Dp3=19
3,3,4.90426,aZVek=19
4,4,8.05027,aZBC6=19
5,5,13.0067,axf6c=19
6,6,17.1226,a7bJs=19
7,7,23.2989,a7bJs=19
8,8,27.952,a5Vp8=19
9,9,34.6408,a5Vp8=19
10,10,45.2076,anxMd=19
11,11,49.0287,anxMd=19
12,12,56.5424,ajIT7=19
13,13,56.6673,acro3=19
14,14,65.7934,aZjAd=19
15,15,80.1297,azIlh=19
16,16,88.8991,azIlh=19
17,17,98.2416,aW4X9=19
18,18,106.508,auoao=19
19,19,117.517,aDGjo=19
20,20,128.713,aDGjo=19
21,21,145.699,aDGjo=19
22,22,157.935,aF4hu=19
23,23,169.842,aK82s=19
24,24,169.896,aK82s=19
25,25,186.739,asyto=19
26,26,203.072,ab04z=19
27,27,218.585,aknWZ=19
28,28,236.267,aknWZ=19
29,29,253.816,aStKT=19
30,30,291.897,aNO0s=19
31,31,293.311,a7pD4=19
32,32,329.474,aVO8m=19
33,33,333.683,aybfH=19
34,34,361.718,a3LmJ=19
35,35,375.655,a3LmJ=19
36,36,409.244,a2f8R=19
37,37,435.213,aBtaw=19
38,38,492.541,aS7TF=19
39,39,528.269,aMJKj=19
40,40,573.609,ahehi=19
41,41,601.309,aR2Or=19
42,42,674.793,am5yW=19
43,43,713.504,m4ICc=32
44,44,773.627,m4ICc=32
45,45,831.078,m4ICc=32
46,46,869.144,m4ICc=32
47,47,946.477,m4ICc=32
48,48,996.614,m4ICc=32
49,49,1092.2,m4ICc=32
50,50,1180.56,m4ICc=32
51,51,1299.46,m4ICc=32
52,52,1427.78,m4ICc=32
53,53,1604.69,m4ICc=32
54,54,1760.36,m4ICc=32
55,55,2094.36,m4ICc=32
56,56,2400.65,m4ICc=32
57,57,2452.59,m4ICc=32
58,58,3795.52,m4ICc=32
59,59,5964.64,m4ICc=32
60,60,5726.44,m4ICc=32
61,61,3851.61,m4ICc=32
62,62,3469.26,m4ICc=32
63,63,3706.52,m4ICc=32
64,64,4214.94,m4ICc=32
65,65,4117.78,m4ICc=32
66,66,4227.6,m4ICc=32
67,67,4428.24,m4ICc=32
68,68,4898.94,m4ICc=32
69,69,3974.81,m4ICc=32
70,70,4767.89,m4ICc=32
71,71,5533.76,m4ICc=32
72,72,6197.7,m4ICc=32
73,73,5608.93,m4ICc=32
74,74,5754.41,m4ICc=32
75,75,5374.79,m4ICc=32
76,76,7280.9,m4ICc=32
77,77,6058.05,m4ICc=32
78,78,6989.62,m4ICc=32
79,79,6414.63,m4ICc=32
80,80,6867.43,m4ICc=32
81,81,7859.58,m4ICc=32
82,82,7448.54,m4ICc=32
83,83,8745.62,m4ICc=32
84,84,8636.74,m4ICc=32
85,85,8634.72,m4ICc=32
86,86,8778.34,m4ICc=32
87,87,9642.11,m4ICc=32
88,88,10068.7,m4ICc=32
89,89,10166.8,m4ICc=32
90,90,9880.37,m4ICc=32
91,91,10749.1,m4ICc=32
92,92,10664.4,m4ICc=32
93,93,10519.7,m4ICc=32
94,94,12379.5,m4ICc=32
95,95,11596.7,m4ICc=32
96,96,12153.9,m4ICc=32
97,97,13933.2,m4ICc=32
98,98,13134.6,m4ICc=32
99,99,13014.1,m4ICc=32
100,100,14530.5,m4ICc=32
101,101,14153.6,m4ICc=32
102,102,13826.7,m4ICc=32
103,103,15305.1,m4ICc=32
104,104,16979.8,m4ICc=32
105,105,15510.1,m4ICc=32
106,106,16466.6,m4ICc=32
107,107,17098.1,m4ICc=32
108,108,18929.1,m4ICc=32
109,109,17092.2,m4ICc=32
110,110,19138.5,m4ICc=32
111,111,19101.6,m4ICc=32
112,112,20150.9,m4ICc=32
113,113,19159.7,m4ICc=32
114,114,20068.9,m4ICc=32
115,115,19909.7,m4ICc=32
116,116,20075.1,m4ICc=32
117,117,19435,m4ICc=32
118,118,20399.1,m4ICc=32
119,119,19860.4,m4ICc=32
120,120,20699.9,m4ICc=32
121,121,20321.4,m4ICc=32
122,122,19278.8,m4ICc=32
123,123,20821.6,m4ICc=32
124,124,20869.9,m4ICc=32
125,125,20397.2,m4ICc=32
126,126,20073.9,m4ICc=32
127,127,21203.2,m4ICc=32
128,128,20850.9,m4ICc=32
129,129,21514.5,m4ICc=32
130,130,20530.5,m4ICc=32
131,131,20783.9,m4ICc=32
132,132,22327.3,m4ICc=32
133,133,20467.5,m4ICc=32
134,134,22375.3,m4ICc=32
135,135,21738.7,m4ICc=32
136,136,21878.2,m4ICc=32
137,137,22798.2,m4ICc=32
138,138,22879,m4ICc=32
139,139,22420.8,m4ICc=32
140,140,22930.4,m4ICc=32
141,141,23316.3,m4ICc=32
142,142,23100.5,m4ICc=32
143,143,23290.2,m4ICc=32
144,144,23312.3,m4ICc=32
145,145,24434.9,m4ICc=32
146,146,24234.2,m4ICc=32
147,147,23564.6,m4ICc=32
148,148,26435.8,m4ICc=32
149,149,24844.2,m4ICc=32
