threads_lectura,thread_maximo,tiempo,output
1,1,0.092863,a6Dp3=19
2,2,0.127864,a6Dp3=19
3,3,0.128295,aZVek=19
4,4,0.197464,aZBC6=19
5,5,0.210862,axf6c=19
6,6,0.242766,a7bJs=19
7,7,0.341116,a7bJs=19
8,8,0.271633,a5Vp8=19
9,9,0.316911,a5Vp8=19
10,10,0.379592,anxMd=19
11,11,0.388073,anxMd=19
12,12,0.554458,ajIT7=19
13,13,0.396689,acro3=19
14,14,0.48417,aZjAd=19
15,15,0.490877,azIlh=19
16,16,0.559402,azIlh=19
17,17,0.550876,aW4X9=19
18,18,0.967543,auoao=19
19,19,1.1058,aDGjo=19
20,20,0.62747,aDGjo=19
21,21,0.63772,aDGjo=19
22,22,0.671526,aF4hu=19
23,23,0.727627,aK82s=19
24,24,0.701496,aK82s=19
25,25,0.766442,asyto=19
26,26,0.748757,ab04z=19
27,27,0.814852,aknWZ=19
28,28,0.88918,aknWZ=19
29,29,0.838913,aStKT=19
30,30,0.836647,aNO0s=19
31,31,0.922548,a7pD4=19
32,32,0.964859,aVO8m=19
33,33,0.973012,aybfH=19
34,34,0.95731,a3LmJ=19
35,35,0.989722,a3LmJ=19
36,36,1.00276,a2f8R=19
37,37,0.976732,aBtaw=19
38,38,1.39194,aS7TF=19
39,39,1.0716,aMJKj=19
40,40,1.05836,ahehi=19
41,41,1.27143,aR2Or=19
42,42,4.17711,am5yW=19
43,43,1.16268,m4ICc=32
44,44,1.37287,m4ICc=32
45,45,1.28726,m4ICc=32
46,46,1.19699,m4ICc=32
47,47,1.3456,m4ICc=32
48,48,1.47594,m4ICc=32
49,49,2.63141,m4ICc=32
50,50,1.58437,m4ICc=32
51,51,1.65013,m4ICc=32
52,52,1.67426,m4ICc=32
53,53,1.54318,m4ICc=32
54,54,1.7831,m4ICc=32
55,55,1.62826,m4ICc=32
56,56,2.01474,m4ICc=32
57,57,2.04217,m4ICc=32
58,58,1.86092,m4ICc=32
59,59,1.97757,m4ICc=32
60,60,3.07379,m4ICc=32
61,61,3.15027,m4ICc=32
62,62,2.94016,m4ICc=32
63,63,3.26481,m4ICc=32
64,64,2.01036,m4ICc=32
65,65,3.36876,m4ICc=32
66,66,2.63236,m4ICc=32
67,67,2.63483,m4ICc=32
68,68,2.79366,m4ICc=32
69,69,2.72464,m4ICc=32
70,70,5.16089,m4ICc=32
71,71,3.91074,m4ICc=32
72,72,3.33474,m4ICc=32
73,73,3.47265,m4ICc=32
74,74,3.06262,m4ICc=32
75,75,27.5434,m4ICc=32
76,76,2.80577,m4ICc=32
77,77,28.1643,m4ICc=32
78,78,28.0201,m4ICc=32
79,79,3.5599,m4ICc=32
80,80,6.36173,m4ICc=32
81,81,3.57623,m4ICc=32
82,82,3.71597,m4ICc=32
83,83,3.7584,m4ICc=32
84,84,7.22705,m4ICc=32
85,85,4.23616,m4ICc=32
86,86,3.9376,m4ICc=32
87,87,4.5623,m4ICc=32
88,88,28.082,m4ICc=32
89,89,4.73526,m4ICc=32
90,90,31.5541,m4ICc=32
91,91,28.1701,m4ICc=32
92,92,4.37161,m4ICc=32
93,93,6.47565,m4ICc=32
94,94,28.796,m4ICc=32
95,95,30.6176,m4ICc=32
96,96,4.04238,m4ICc=32
97,97,4.05118,m4ICc=32
98,98,4.13877,m4ICc=32
99,99,24.9999,m4ICc=32
100,100,5.46044,m4ICc=32
101,101,5.14664,m4ICc=32
102,102,29.5812,m4ICc=32
103,103,4.78225,m4ICc=32
104,104,4.90744,m4ICc=32
105,105,5.35292,m4ICc=32
106,106,5.73922,m4ICc=32
107,107,5.92858,m4ICc=32
108,108,29.4066,m4ICc=32
109,109,7.87873,m4ICc=32
110,110,6.17363,m4ICc=32
111,111,6.60414,m4ICc=32
112,112,6.00893,m4ICc=32
113,113,5.82386,m4ICc=32
114,114,30.0216,m4ICc=32
115,115,30.0469,m4ICc=32
116,116,26.399,m4ICc=32
117,117,6.13422,m4ICc=32
118,118,5.26937,m4ICc=32
119,119,6.21341,m4ICc=32
120,120,6.91755,m4ICc=32
121,121,5.81756,m4ICc=32
122,122,6.15159,m4ICc=32
123,123,29.8874,m4ICc=32
124,124,6.54027,m4ICc=32
125,125,6.10443,m4ICc=32
126,126,6.78855,m4ICc=32
127,127,6.32063,m4ICc=32
128,128,29.9743,m4ICc=32
129,129,8.48048,m4ICc=32
130,130,31.0497,m4ICc=32
131,131,6.63905,m4ICc=32
132,132,5.56192,m4ICc=32
133,133,29.9152,m4ICc=32
134,134,5.95129,m4ICc=32
135,135,6.45359,m4ICc=32
136,136,30.4296,m4ICc=32
137,137,6.3632,m4ICc=32
138,138,8.65806,m4ICc=32
139,139,31.1753,m4ICc=32
140,140,7.02158,m4ICc=32
141,141,6.89408,m4ICc=32
142,142,30.5451,m4ICc=32
143,143,30.5179,m4ICc=32
144,144,6.40478,m4ICc=32
145,145,6.43674,m4ICc=32
146,146,7.23113,m4ICc=32
147,147,7.37958,m4ICc=32
148,148,31.2922,m4ICc=32
149,149,6.96806,m4ICc=32
